lat, lon, elevation, xIndex, yIndex
74.70350703505787, 67.88212284194556, -3.0, 0, 0
74.71064408081179, 67.88212237635464, -3.0, 1, 0
74.71778112618553, 67.88212160036981, -3.0, 2, 0
74.72491817098903, 67.8821205139911, -2.0, 3, 0
74.73205521503218, 67.88211911721854, -2.0, 4, 0
74.7391922581249, 67.88211741005219, -2.0, 5, 0
74.74632930007711, 67.88211539249214, -2.0, 6, 0
74.75346634069874, 67.88211306453847, -1.0, 7, 0
74.76060337979968, 67.88211042619126, -1.0, 8, 0
74.76774041718987, 67.88210747745063, -1.0, 9, 0
74.7748774526792, 67.88210421831673, -1.0, 10, 0
74.78201448607763, 67.88210064878965, 0.0, 11, 0
74.78915151719502, 67.88209676886956, 0.0, 12, 0
74.79628854584134, 67.88209257855664, 0.0, 13, 0
74.80342557182647, 67.88208807785105, 4.0, 14, 0
74.81056259496034, 67.882083266753, 17.0, 15, 0
74.81769961505289, 67.88207814526265, 24.0, 16, 0
74.82483663191401, 67.88207271338025, 23.0, 17, 0
74.83197364535363, 67.88206697110601, 22.0, 18, 0
74.70350785876421, 67.88481260181241, -3.0, 0, 1
74.71064572822439, 67.88481213615904, -3.0, 1, 1
74.71778359730426, 67.8848113600701, -3.0, 2, 1
74.72492146581365, 67.88481027354563, -2.0, 3, 1
74.73205933356242, 67.88480887658568, -2.0, 4, 1
74.7391972003604, 67.8848071691903, -2.0, 5, 1
74.74633506601741, 67.88480515135956, -2.0, 6, 1
74.75347293034334, 67.88480282309357, -2.0, 7, 1
74.76061079314799, 67.88480018439238, -1.0, 8, 1
74.76774865424123, 67.88479723525614, -1.0, 9, 1
74.77488651343289, 67.88479397568497, -1.0, 10, 1
74.78202437053282, 67.88479040567901, 0.0, 11, 1
74.78916222535086, 67.88478652523838, 0.0, 12, 1
74.79630007769687, 67.8847823343633, 0.0, 13, 1
74.80343792738067, 67.88477783305387, 3.0, 14, 1
74.81057577421213, 67.88477302131035, 15.0, 15, 1
74.81771361800106, 67.8847678991329, 25.0, 16, 1
74.82485145855735, 67.88476246652174, 28.0, 17, 1
74.83198929569082, 67.88475672347711, 26.0, 18, 1
74.70350868267643, 67.88750236078968, -3.0, 0, 2
74.71064737604875, 67.88750189507383, -3.0, 1, 2
74.71778606904061, 67.88750111888076, -3.0, 2, 2
74.72492476146179, 67.88750003221051, -3.0, 3, 2
74.73206345312204, 67.88749863506311, -2.0, 4, 2
74.73920214383112, 67.88749692743863, -2.0, 5, 2
74.74634083339882, 67.88749490933716, -2.0, 6, 2
74.75347952163492, 67.88749258075876, -2.0, 7, 2
74.76061820834916, 67.88748994170354, -1.0, 8, 2
74.76775689335132, 67.8874869921716, -1.0, 9, 2
74.77489557645117, 67.88748373216308, -1.0, 10, 2
74.78203425745849, 67.8874801616781, 0.0, 11, 2
74.78917293618305, 67.88747628071683, 0.0, 12, 2
74.79631161243462, 67.88747208927941, 0.0, 13, 2
74.80345028602297, 67.88746758736603, 2.0, 14, 2
74.81058895675785, 67.88746277497688, 13.0, 15, 2
74.81772762444906, 67.88745765211216, 26.0, 16, 2
74.82486628890638, 67.8874522187721, 30.0, 17, 2
74.83200494993956, 67.88744647495689, 27.0, 18, 2
74.70350950679459, 67.89019211887748, -4.0, 0, 3
74.71064902428502, 67.89019165309912, -3.0, 1, 3
74.71778854139482, 67.8901908768019, -3.0, 2, 3
74.72492805793371, 67.89018978998583, -3.0, 3, 3
74.73206757371139, 67.89018839265094, -2.0, 4, 3
74.73920708853754, 67.89018668479733, -2.0, 5, 3
74.74634660222188, 67.89018466642506, -2.0, 6, 3
74.75348611457409, 67.89018233753418, -2.0, 7, 3
74.76062562540385, 67.89017969812484, -1.0, 8, 3
74.76776513452089, 67.89017674819709, -1.0, 9, 3
74.77490464173489, 67.89017348775113, -1.0, 10, 3
74.78204414685554, 67.89016991678703, 0.0, 11, 3
74.78918364969256, 67.89016603530497, 0.0, 12, 3
74.79632315005563, 67.89016184330512, 0.0, 13, 3
74.80346264775446, 67.89015734078764, 1.0, 14, 3
74.81060214259874, 67.89015252775272, 11.0, 15, 3
74.81774163439817, 67.89014740420058, 26.0, 16, 3
74.82488112296245, 67.89014197013141, 30.0, 17, 3
74.83202060810129, 67.89013622554546, 26.0, 18, 3
74.70351033111878, 67.89288187607586, -4.0, 0, 4
74.71065067293331, 67.892881410235, -3.0, 1, 4
